ESD-CODE,STATE,PHASE,PHASE-NAME,VEG,NOTES
R036XY113CO,POTENTIAL,2.2,MATURE PINYON-JUNIPER WOODLAND,PG/AG,
R036XY113CO,POTENTIAL,2.2,MATURE PINYON-JUNIPER WOODLAND,PF/AF,
R036XY113CO,POTENTIAL,2.2,MATURE PINYON-JUNIPER WOODLAND,SH,PRESENT
R036XY113CO,POTENTIAL,2.2,MATURE PINYON-JUNIPER WOODLAND,INVASIVES,OTHER
R036XY113CO,POTENTIAL,2.3,PERRENIAL SHRUBLAND WITH SCATTERED PJ,PG/AG,
R036XY113CO,POTENTIAL,2.3,PERRENIAL SHRUBLAND WITH SCATTERED PJ,PF/AF,OTHER
R036XY113CO,POTENTIAL,2.3,PERRENIAL SHRUBLAND WITH SCATTERED PJ,SH,SCATTERED
R036XY113CO,POTENTIAL,2.3,PERRENIAL SHRUBLAND WITH SCATTERED PJ,UTAH JUNIPER,SCATTERED
R036XY113CO,POTENTIAL,2.3,PERRENIAL SHRUBLAND WITH SCATTERED PJ,PINYON,PRESENT
R036XY113CO,POTENTIAL,2.3,PERRENIAL SHRUBLAND WITH SCATTERED PJ,INVASIVES,
R036XY113CO,INVASIVE,3.1,PJ WOODLAND WITH INVASIVE PLANTS,PINYON,
R036XY113CO,INVASIVE,3.1,PJ WOODLAND WITH INVASIVE PLANTS,UTAH JUNIPER,
R036XY113CO,INVASIVE,3.1,PJ WOODLAND WITH INVASIVE PLANTS,CHEATGRASS,
R036XY113CO,INVASIVE,3.1,PJ WOODLAND WITH INVASIVE PLANTS,FORBS,
R036XY113CO,INVASIVE,3.1,PJ WOODLAND WITH INVASIVE PLANTS,SHRUBS,
R036XY113CO,INVASIVE,3.1,PJ WOODLAND WITH INVASIVE PLANTS,M/LC/CY,DENSE
R036XY113CO,INVASIVE,3.2,INVASIVE ANNUALS,PINYON,
R036XY113CO,INVASIVE,3.2,INVASIVE ANNUALS,UTAH JUNIPER,
R036XY113CO,INVASIVE,3.2,INVASIVE ANNUALS,CHEATGRASS,SPARSE TO ABSENT
R036XY113CO,INVASIVE,3.2,INVASIVE ANNUALS,PG ,SPARSE TO ABSENT
R036XY113CO,INVASIVE,3.2,INVASIVE ANNUALS,PF ,DENSE
R036XY113CO,INVASIVE,3.2,INVASIVE ANNUALS,M/LC/CY,SEEDED
R036XY113CO,SEEDED,4.1,SEEDED GRASSLAND/SHRUBLAND,PG/AG,OTHER
R036XY113CO,SEEDED,4.1,SEEDED GRASSLAND/SHRUBLAND,PG/AG,
R036XY113CO,SEEDED,4.1,SEEDED GRASSLAND/SHRUBLAND,SH,
R036XY113CO,SEEDED,4.1,SEEDED GRASSLAND/SHRUBLAND,PF/AF,SEEDED
R036XY113CO,SEEDED,4.2,SEEDED WITH PJ,PG/AG,SCATTERED
R036XY113CO,SEEDED,4.2,SEEDED WITH PJ,PINYON,SCATTERED
R036XY113CO,SEEDED,4.2,SEEDED WITH PJ,UTAH JUNIPER,OTHER
R036XY113CO,SEEDED,4.2,SEEDED WITH PJ,PG/AG,
R036XY113CO,SEEDED,4.2,SEEDED WITH PJ,SH,
R036XY113CO,SEEDED,4.2,SEEDED WITH PJ,PF/AF,
,,,,,
R036XY284CO,REFERENCE,1.1,PERRENIAL SHRUBLAND/GRASSLAND,ARTRW8,
R036XY284CO,REFERENCE,1.1,PERRENIAL SHRUBLAND/GRASSLAND,MUTTONGRASS,
R036XY284CO,REFERENCE,1.1,PERRENIAL SHRUBLAND/GRASSLAND,WESTERN WHEATGRASS,
R036XY284CO,REFERENCE,1.1,PERRENIAL SHRUBLAND/GRASSLAND,PF/AF,
R036XY284CO,REFERENCE,1.1,PERRENIAL SHRUBLAND/GRASSLAND,SHRUB,
R036XY284CO,REFERENCE,1.2,PERRENIAL GRASSLAND,MUTTONGRASS,
R036XY284CO,REFERENCE,1.2,PERRENIAL GRASSLAND,WESTERN WHEATGRASS,
R036XY284CO,REFERENCE,1.2,PERRENIAL GRASSLAND,INDIAN RICEGRASS,
R036XY284CO,REFERENCE,1.2,PERRENIAL GRASSLAND,FORB,
R036XY284CO,REFERENCE,1.2,PERRENIAL GRASSLAND,SHRUB,
R036XY284CO,REFERENCE,1.3,PERENNIAL SHRUBLAND,ARTRW8,
R036XY284CO,REFERENCE,1.3,PERENNIAL SHRUBLAND,YELLOW RABBITBRUSH,
R036XY284CO,REFERENCE,1.3,PERENNIAL SHRUBLAND,WESTERN WHEATGRASS,
R036XY284CO,REFERENCE,1.3,PERENNIAL SHRUBLAND,MUTTONGRASS,
R036XY284CO,REFERENCE,1.3,PERENNIAL SHRUBLAND,PG/AG,
R036XY284CO,REFERENCE,1.3,PERENNIAL SHRUBLAND,PF/AF,
R036XY284CO,REFERENCE,1.3,PERENNIAL SHRUBLAND,SHRUB,
R036XY284CO,CURRENT POTENTIAL,2.1,PERENNIAL SHRUBLAND/GRASSLAND,ARTRW8,
R036XY284CO,CURRENT POTENTIAL,2.1,PERENNIAL SHRUBLAND/GRASSLAND,MUTTONGRASS,
R036XY284CO,CURRENT POTENTIAL,2.1,PERENNIAL SHRUBLAND/GRASSLAND,WESTERN WHEATGRASS,
R036XY284CO,CURRENT POTENTIAL,2.1,PERENNIAL SHRUBLAND/GRASSLAND,INDIAN RICEGRASS,
R036XY284CO,CURRENT POTENTIAL,2.1,PERENNIAL SHRUBLAND/GRASSLAND,PF/AF,
R036XY284CO,CURRENT POTENTIAL,2.1,PERENNIAL SHRUBLAND/GRASSLAND,SHRUB,
R036XY284CO,CURRENT POTENTIAL,2.1,PERENNIAL SHRUBLAND/GRASSLAND,NOXIOUS,PRESENT
R036XY284CO,CURRENT POTENTIAL,2.2,PERENNIAL GRASSLAND,MUTTONGRASS,
R036XY284CO,CURRENT POTENTIAL,2.2,PERENNIAL GRASSLAND,WESTERN WHEATGRASS,
R036XY284CO,CURRENT POTENTIAL,2.2,PERENNIAL GRASSLAND,INDIAN RICEGRASS,
R036XY284CO,CURRENT POTENTIAL,2.2,PERENNIAL GRASSLAND,PF/AF,
R036XY284CO,CURRENT POTENTIAL,2.2,PERENNIAL GRASSLAND,SHRUB,
R036XY284CO,CURRENT POTENTIAL,2.2,PERENNIAL GRASSLAND,NOXIOUS,PRESENT 
R036XY284CO,CURRENT POTENTIAL,2.3,PERENNIAL SHRUBLAND,ARTRW8,
R036XY284CO,CURRENT POTENTIAL,2.3,PERENNIAL SHRUBLAND,YELLOW RABBITBRUSH,
R036XY284CO,CURRENT POTENTIAL,2.3,PERENNIAL SHRUBLAND,WESTERN WHEATGRASS,
R036XY284CO,CURRENT POTENTIAL,2.3,PERENNIAL SHRUBLAND,MUTTONGRASS,
R036XY284CO,CURRENT POTENTIAL,2.3,PERENNIAL SHRUBLAND,PG/AG,
R036XY284CO,CURRENT POTENTIAL,2.3,PERENNIAL SHRUBLAND,PF/AF,
R036XY284CO,CURRENT POTENTIAL,2.3,PERENNIAL SHRUBLAND,SHRUB,
R036XY284CO,CURRENT POTENTIAL,2.3,PERENNIAL SHRUBLAND,NOXIOUS,PRESENT
R036XY284CO,PJ,3.1,PJ W/ UNDERSTORY,PINYON,
R036XY284CO,PJ,3.1,PJ W/ UNDERSTORY,UTAH JUNIPER,
R036XY284CO,PJ,3.1,PJ W/ UNDERSTORY,PG ,
R036XY284CO,PJ,3.1,PJ W/ UNDERSTORY,PF ,
R036XY284CO,PJ,3.1,PJ W/ UNDERSTORY,SHRUB,
R036XY284CO,PJ,3.2,PJ WOODLAND,ARTRW8,DOMINANT
R036XY284CO,PJ,3.2,PJ WOODLAND,UTAH JUNIPER,ABUNDANT IN PATCHES
R036XY284CO,PJ,3.2,PJ WOODLAND,PG,SPARSE-ABSENT
R036XY284CO,PJ,3.2,PJ WOODLAND,PF,SPARSE-ABSENT
R036XY284CO,SEEDED,4.1,SEEDED GRASSLAND,PG/AG -SEEDED,
