Plot ID,Panel,Plot Status,Administrative State,Project Office,Design Stratum,Project Contact Name,Comments,Rejection Criteria,Rejection Criteria Comments,Actual Stratum,Project,Random or Targeted,Revisit,Original Plot ID If Revisit,Date Originally Visited If Revisit,Moved,Move Comments,Date Visited,Actual Latitude Y,Actual Longitude X,Ecological Site
SS-274,2021,Rejected,CO,UFO,SS,Ken Holsinger,,Office Reject - Slope over 50% no way to move,,Rejected,Terrestrial AIM ,Random   ,No,NA,NA,NA,NA,NA,NA,NA,NA
SS-275,2021,Sampled,CO,UFO,SS,Ken Holsinger,,NA,,PJ,Terrestrial AIM ,Random   ,No,NA,NA,Yes,Slope over 50%,6/20/2021,38.514663316404,-108.755306209079,R036XY114CO Mountain Pinyon
SS-276,2021,Sampled,CO,UFO,SS,Ken Holsinger,,NA,,PJ,Terrestrial AIM ,Random   ,No,NA,NA,No,NA,8/26/2021,38.1782058632434,-108.554240450285,R036XY113CO Semidesert Juniper Loam
SS-277,2021,Sampled,CO,UFO,SS,Ken Holsinger,,N/A,,SS,Terrestrial AIM ,Random   ,No,NA,NA,No,NA,7/6/2021,38.3666272278235,-107.831742195936,R036XY325CO Semidesert Loam
SS-278,2021,Sampled,CO,UFO,SS,Ken Holsinger,,N/A,,SD,Terrestrial AIM ,Random   ,No,NA,NA,No,NA,7/20/2021,38.74,-107.881,R034BY106UT Desert Loam (Shadscale)
SS-279,2021,Sampled,CO,UFO,SS,Ken Holsinger,,N/A,,SS,Terrestrial AIM ,Random   ,No,NA,NA,Yes,Crossed a road,7/17/2021,38.3335387798511,-108.721448730981,R036XY325CO Semidesert Loam
SS-280,2021,Sampled,CO,UFO,SS,Ken Holsinger,,N/A,,SS,Terrestrial AIM ,Random   ,No,NA,NA,No,NA,8/13/2021,38.1816746113745,-108.47882487118,R036XY325CO Semidesert Loam
SS-281,2021,Sampled,CO,UFO,SS,Ken Holsinger,,NA,,SS,Terrestrial AIM ,Random   ,No,NA,NA,No,NA,8/29/2021,38.5871511846159,-107.577115867284,R048AY247CO Deep Clay Loam
SS-282,2021,Sampled,CO,UFO,SS,Ken Holsinger,,NA,,PJ,Terrestrial AIM ,Random   ,No,NA,NA,No,NA,9/11/2021,38.6445958580214,-107.847755684797,R036XY141CO Shallow Loamy Mesa Top (Pinyon-Juniper)
SS-283,2021,Sampled,CO,UFO,SS,Ken Holsinger,,N/A,,SD,Terrestrial AIM ,Random   ,No,NA,NA,No,NA,7/15/2021,38.2417009296394,-108.694760742729,R036XY326CO Semidesert Sandy Loam
SS-284,2021,Sampled,CO,UFO,SS,Ken Holsinger,,N/A,,PJ,Terrestrial AIM ,Random   ,No,NA,NA,Yes,50 m East to avoid slope.,8/12/2021,38.1364365673447,-108.355123239823,R036XY328UT Upland Very Steep Stony Loam (Pinyon/Utah Juniper)
SS-285,2022,Sampled,CO,UFO,SS,Ken Holsinger,,N/A,,SS,Terrestrial AIM ,Random   ,No,NA,NA,No,NA,7/1/2021,38.4263483614535,-107.807452949463,R034XY403CO Clayey Saltdesert
SS-286,2022,Sampled,CO,UFO,SS,Ken Holsinger,,N/A,,SD,Terrestrial AIM ,Random   ,No,NA,NA,No,NA,7/28/2021,38.7710803798928,-107.832618079184,R035XY136UT - Desert Stony Loam (Shadscale-Bud Sagebrush)
SS-287,2022,Sampled,CO,UFO,SS,Ken Holsinger,,N/A,,PJ,Terrestrial AIM ,Random   ,No,NA,NA,No,NA,6/18/2021,38.299976825945,-109.012967681185,R036XY142CO Loamy Mesa Top (Pinyon-Juniper)
SS-288,2022,Sampled,CO,UFO,SS,Ken Holsinger,,NA,,Sage Steppe,Terrestrial AIM ,Random   ,No,NA,NA,Yes,50m East to avoid private,8/13/2021,38.1755952006501,-108.499423353903,R036XY326CO Semidesert Sandy Loam
SS-289,2022,Sampled,CO,UFO,SS,Ken Holsinger,,NA,,PJ,Terrestrial AIM ,Random   ,No,NA,NA,No,NA,7/19/2021,38.5104105654926,-108.084695865077,R036XY113CO Semidesert Juniper Loam
SS-290,2022,Sampled,CO,UFO,SS,Ken Holsinger,,NA,,SD,Terrestrial AIM ,Random   ,No,NA,NA,No,NA,7/3/2021,38.7211621903425,-108.249895194359,R034XY406CO Saltdesert Breaks
SS-291,2022,Sampled,CO,UFO,SS,Ken Holsinger,,NA,,PJ   ,Terrestrial AIM ,Random   ,No,NA,NA,No,NA,10/2/2021,38.7677360516483,-108.333062557,R036XY141CO Shallow Loamy Mesa Top (Pinyon-Juniper)
SS-292,2022,Sampled,CO,UFO,SS,Ken Holsinger,,NA,,"Other (Slick rock with PJ, CEMO, ARBI and ARNO)",Terrestrial AIM ,Random   ,No,NA,NA,Yes,50 m West to avoid very large boulder field.,8/15/2021,38.1653405436994,-108.651064561591,R036XY326CO Semidesert Sandy Loam
SS-293,2022,Sampled,CO,UFO,SS,Ken Holsinger,,NA,,PJ,Terrestrial AIM ,Random   ,No,NA,NA,No,NA,8/10/2021,38.3414923414943,-107.900374125806,R036XY141CO Shallow Loamy Mesa Top (Pinyon-Juniper)
AS-012,OverSample 2020,SAMPLED,CO,UFO,AS,Ken Holsinger,,,,,,,,,,,,,,,DRAFT ESD
AS-013,OverSample 2020,NOT SAMPLED,CO,UFO,AS,Ken Holsinger,,,,,,,,,,,,,,,NA
AS-014,OverSample 2020,REJECTED,CO,UFO,AS,Ken Holsinger,,,,,,,,,,,,,,,NA
AS-015,OverSample 2020,REJECTED,CO,UFO,AS,Ken Holsinger,,,,,,,,,,,,,,,NA
AS-016,OverSample 2021,NOT SAMPLED,CO,UFO,AS,Ken Holsinger,,,,,,,,,,,,,,,NA
AS-017,OverSample 2021,NOT SAMPLED,CO,UFO,AS,Ken Holsinger,,,,,,,,,,,,,,,NA
AS-018,OverSample 2022,NOT SAMPLED,CO,UFO,AS,Ken Holsinger,,,,,,,,,,,,,,,NA
AS-019,OverSample 2022,REJECTED,CO,UFO,AS,Ken Holsinger,,,,,,,,,,,,,,,NA
AS-020,OverSample 2022,NOT SAMPLED,CO,UFO,AS,Ken Holsinger,,,,,,,,,,,,,,,NA
GR-025,2022,SAMPLED,CO,UFO,GR,Ken Holsinger,,,,,,,,,,,,,,,R036XY114CO
GR-026,OverSample 2018,SAMPLED,CO,UFO,GR,Ken Holsinger,,,,,,,,,,,,,,,R036XY114CO
GR-027,OverSample 2018,SAMPLED,CO,UFO,GR,Ken Holsinger,,,,,,,,,,,,,,,NEED MATCHED
GR-028,OverSample 2018,SAMPLED,CO,UFO,GR,Ken Holsinger,,,,,,,,,,,,,,,R034BY106UT
OT-117,OverSample 2018,SAMPLED,CO,UFO,OT,Ken Holsinger,,,,,,,,,,,,,,,R036XY326CO
OT-118,OverSample 2018,REJECTED,CO,UFO,OT,Ken Holsinger,,,,,,,,,,,,,,,NA
OT-119,OverSample 2019,REJECTED,CO,UFO,OT,Ken Holsinger,,,,,,,,,,,,,,,NA
OT-120,OverSample 2019,REJECTED,CO,UFO,OT,Ken Holsinger,,,,,,,,,,,,,,,NA
OT-121,OverSample 2019,REJECTED,CO,UFO,OT,Ken Holsinger,,,,,,,,,,,,,,,NA
